endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Senador Vergueiro, 98 - Flamengo, Rio de Janeiro - RJ;2200.0;60;1;0;2;7
Rua Tragopana, 69 - Guadalupe, Rio de Janeiro - RJ;700.0;35;1;0;2;7
Boulevard Vinte e Oito de Setembro, 280 - Vila Isabel, Rio de Janeiro - RJ;750.0;26;1;0;1;7
Rua Farani, 3 - Botafogo, Rio de Janeiro - RJ;2300.0;31;1;0;1;7
Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ;3800.0;60;1;1;1;7
Rua José Bonifácio, 685 - Todos os Santos, Rio de Janeiro - RJ;1300.0;41;1;1;1;7
Rua do Resende, 127 - Centro, Rio de Janeiro - RJ;600.0;20;1;0;1;7
Rua Filgueiras Lima, 71 - Riachuelo, Rio de Janeiro - RJ;780.0;34;1;1;1;7
Avenida Bartolomeu Mitre, 990 - Leblon, Rio de Janeiro - RJ;2300.0;50;1;0;1;7
Rua Siqueira Campos - Copacabana, Rio de Janeiro - RJ;1500.0;45;1;0;1;7
Rua do Fialho, 15 - Glória, Rio de Janeiro - RJ;1300.0;26;1;0;1;7
Praia Botafogo - Botafogo, Rio de Janeiro - RJ;1600.0;36;1;0;1;7
Rua Siqueira Campos, 253 - Copacabana, Rio de Janeiro - RJ;1500.0;60;1;1;1;7
Centro, Rio de Janeiro - RJ;1500.0;25;1;0;1;7
Avenida Bartolomeu Mitre, 455 - Leblon, Rio de Janeiro - RJ;7500.0;150;1;1;2;7
Centro, Rio de Janeiro - RJ;450.0;68;1;0;1;7
Estrada dos Bandeirantes - Curicica, Rio de Janeiro - RJ;2300.0;37;1;1;1;7
Rua Haddock Lobo, 458 - Tijuca, Rio de Janeiro - RJ;1200.0;60;1;0;1;7
Rua Sílvio Romero, 8 - Santa Teresa, Rio de Janeiro - RJ;1200.0;41;1;1;1;7
Tijuca, Rio de Janeiro - RJ;1200.0;50;1;0;1;7
Avenida Prado Júnior - Copacabana, Rio de Janeiro - RJ;1600.0;30;1;0;1;7
Flamengo, Rio de Janeiro - RJ;1800.0;45;1;0;1;7
Rua Maestro Francisco Braga, 380 - Copacabana, Rio de Janeiro - RJ;1700.0;45;1;1;1;7
Rua Dona Mariana, 79 - Botafogo, Rio de Janeiro - RJ;2600.0;40;1;0;1;7
Rua Miguel Lemos, 91 - Copacabana, Rio de Janeiro - RJ;2000.0;53;1;0;1;7
Avenida Gilka Machado, 149 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;680.0;30;1;0;1;7
Avenida Nossa Senhora de Copacabana, 1100 - Copacabana, Rio de Janeiro - RJ;1500.0;40;1;0;1;7
Avenida Nossa Senhora de Copacabana, 387 - Copacabana, Rio de Janeiro - RJ;1100.0;32;1;0;1;7
Avenida Vicente de Carvalho, 995 - Vila da Penha, Rio de Janeiro - RJ;700.0;50;1;0;1;7
Rua Rodolfo Dantas, 6 - Copacabana, Rio de Janeiro - RJ;2700.0;74;1;0;1;7
Rua Haia - Tauá, Rio de Janeiro - RJ;1000.0;37;1;0;1;8
Jacarepaguá, Rio de Janeiro - RJ;2000.0;36;1;1;1;8
Rua Uruguai, 94 - Vila Isabel, Rio de Janeiro - RJ;1650.0;67;1;1;2;8
Centro, Rio de Janeiro - RJ;1600.0;45;1;1;1;8
Rua Fonseca, 1030 - Bangu, Rio de Janeiro - RJ;700.0;45;1;1;1;8
Rua Daniel Carneiro - Engenho De Dentro, Rio de Janeiro - RJ;700.0;30;1;0;1;8
Rua Joaquim Nabuco, 91 - Copacabana, Rio de Janeiro - RJ;2100.0;33;1;0;1;8
Rua Ronald de Carvalho, 232 - Copacabana, Rio de Janeiro - RJ;2100.0;35;1;0;1;8
Rua Senador Vergueiro - Flamengo, Rio de Janeiro - RJ;3500.0;50;1;0;1;8
Barra da Tijuca, Rio de Janeiro - RJ;4000.0;10;1;1;1;8
Rua Barão de Itambi, 55 - Botafogo, Rio de Janeiro - RJ;2850.0;50;1;1;2;8
Avenida Nelson Cardoso, 1325 - Taquara, Rio de Janeiro - RJ;1300.0;72;1;0;1;8
Rua das Laranjeiras, 336 - Laranjeiras, Rio de Janeiro - RJ;850.0;25;1;0;1;8
Rua Barata Ribeiro, 316 - Copacabana, Rio de Janeiro - RJ;1400.0;33;1;1;1;8
Rua Estevão Silva, 203 - Cachambi, Rio de Janeiro - RJ;870.0;50;1;1;1;8
Avenida Gomes Freire - Lapa, Rio de Janeiro - RJ;1550.0;37;1;0;1;8
Rua do Resende - Centro, Rio de Janeiro - RJ;800.0;37;1;0;1;8
Estrada da Gávea - São Conrado, Rio de Janeiro - RJ;2500.0;58;1;1;1;8
Avenida Calógeras, 12 - Centro, Rio de Janeiro - RJ;1000.0;50;1;0;1;8
Centro, Rio de Janeiro - RJ;980.0;34;1;0;1;8
Tijuca, Rio de Janeiro - RJ;1100.0;51;1;0;2;8
Avenida Venceslau Brás, 18 - Botafogo, Rio de Janeiro - RJ;1800.0;48;1;0;2;8
